GENE,GWAS,LOC_NUM
GPNMB,META5,35
IGF2BP3,META5,35
IL6,META5,35
KLHL7,META5,35
KLHL7-DT,META5,35
LOC100506178,META5,35
LOC401312,META5,35
LOC541472,META5,35
MALSU1,META5,35
NUP42,META5,35
RAPGEF5,META5,35
RPS2P32,META5,35
SNHG26,META5,35
SNORD65C,META5,35
SNORD93,META5,35
STEAP1B,META5,35
STK31,META5,35
TOMM7,META5,35
TRA2A,META5,35
ASL,META5,36
CCT6P1,META5,36
CRCP,META5,36
GS1-124K5.11,META5,36
GS1-124K5.4,META5,36
GTF2IP23,META5,36
GTF2IRD1P1,META5,36
GUSB,META5,36
INTS4P2,META5,36
KCTD7,META5,36
LINC00174,META5,36
LINC01372,META5,36
LINC02604,META5,36
LOC100996437,META5,36
LOC101929322,META5,36
LOC441242,META5,36
MIR4650-1,META5,36
MIR4650-2,META5,36
PMS2P4,META5,36
RABGEF1,META5,36
SBDS,META5,36
SNORA15B-1,META5,36
SNORA15B-2,META5,36
SNORA22,META5,36
STAG3L4,META5,36
TMEM248,META5,36
TPST1,META5,36
TYW1,META5,36
VKORC1L1,META5,36
BLK,META5,37
C8orf49,META5,37
CTSB,META5,37
DEFB109A,META5,37
DEFB130A,META5,37
DEFB130B,META5,37
DEFB134,META5,37
DEFB135,META5,37
DEFB136,META5,37
FAM167A,META5,37
FAM167A-AS1,META5,37
FAM66A,META5,37
FAM66D,META5,37
FAM85A,META5,37
FAM86B1,META5,37
FAM86B2,META5,37
FAM90A25P,META5,37
FAM90A2P,META5,37
FDFT1,META5,37
GATA4,META5,37
LINC00208,META5,37
LINC00681,META5,37
LOC100129129,META5,37
LOC100506990,META5,37
LOC101929269,META5,37
LOC340357,META5,37
LOC392196,META5,37
LOC649352,META5,37
LOC729732,META5,37
LONRF1,META5,37
MIR3926-1,META5,37
MIR3926-2,META5,37
MIR5692A1,META5,37
MIR5692A2,META5,37
MIR598,META5,37
MTMR9,META5,37
NEIL2,META5,37
SLC35G5,META5,37
SNORA99,META5,37
TDH,META5,37
USP17L2,META5,37
USP17L7,META5,37
XKR6,META5,37
