"GWAS","LOC_NUM","GENE","Pubmed hits","Pubmed hits gene only"
"META5",17,"TRIM59-IFT80",0,0
"META5",18,"ABCC5",0,170
"META5",18,"ABCC5-AS1",0,0
"META5",18,"ATP11B",0,17
"META5",18,"B3GNT5",0,19
"META5",18,"DCUN1D1",0,29
"META5",18,"HTR3D",0,16
"META5",18,"KLHL24",0,18
"META5",18,"KLHL6",0,28
"META5",18,"KLHL6-AS1",0,0
"META5",18,"LAMP3",12,100
"META5",18,"LINC00888",0,1
"META5",18,"LINC01994",0,0
"META5",18,"LINC01995",0,0
"META5",18,"MAP6D1",0,4
"META5",18,"MCCC1",17,53
"META5",18,"MCF2L2",0,3
"META5",18,"MIR4448",0,0
"META5",18,"PARL",13,149
"META5",18,"SNORA63D",0,0
"META5",18,"SNORA63E",0,0
"META5",18,"YEATS2",0,9
"META5",18,"YEATS2-AS1",0,0
"META5",19,"ABCA11P",0,0
"META5",19,"ATP5ME",0,0
"META5",19,"CPLX1",3,44
"META5",19,"CRIPAK",0,5
"META5",19,"CTBP1",0,235
"META5",19,"CTBP1-AS",0,22
"META5",19,"CTBP1-DT",0,0
"META5",19,"DGKQ",8,18
"META5",19,"FAM53A",0,3
"META5",19,"FGFR3",2,2244
"META5",19,"FGFRL1",0,83
"META5",19,"GAK",38,154
"META5",19,"IDUA",3,349
"META5",19,"LETM1",2,109
"META5",19,"LOC100129917",0,0
"META5",19,"LOC100130872",0,0
"META5",19,"LOC105374338",0,0
"META5",19,"LOC105374344",0,0
"META5",19,"MAEA",0,60
"META5",19,"MIR571",0,1
"META5",19,"MYL5",0,8
"META5",19,"NKX1-1",0,4
"META5",19,"NSD2",0,112
"META5",19,"PCGF3",0,13
"META5",19,"PDE6B",0,202
"META5",19,"PIGG",0,48
"META5",19,"RNF212",0,29
"META5",19,"SLBP",0,144
"META5",19,"SLC26A1",0,52
"META5",19,"SLC49A3",0,1
"META5",19,"SPON2",0,38
"META5",19,"TACC3",0,230
"META5",19,"TMED11P",0,0
"META5",19,"TMEM129",0,9
"META5",19,"TMEM175",8,20
"META5",19,"TMEM271",0,0
"META5",19,"UVSSA",0,21
"META5",19,"ZNF141",1,11
"META5",19,"ZNF595",0,4
"META5",19,"ZNF718",0,2
"META5",19,"ZNF721",1,3
"META5",19,"ZNF732",0,0
"META5",19,"ZNF876P",0,0
"META5",20,"BST1",32,74
"META5",20,"C1QTNF7",0,4
"META5",20,"CC2D2A",0,54
"META5",20,"CD38",5,7082
"META5",20,"CPEB2",0,38
"META5",20,"CPEB2-DT",0,0
