"Gene","GTEX_BRAIN_all","GTEX_nigra","Astrocyte","DaN","Endothelial","GABA","Microglia","ODC","OPC"
"SYNGAP1",19.9898991291178,4.76117391304348,33.6152153973294,19.6190822959429,31.4604659178024,22.6074025757045,8.8297014466303,7.32179924662727,22.5200509912649
"SYNGR2",22.3372938280954,30.8852971014493,52.6629103405287,5.81575073431526,102.932327681819,12.4207265861723,113.715886234671,109.477090150274,35.4921380614721
"SYT11",159.69642180992,121.568768115942,156.951859265967,100.232038174459,96.6763371941867,136.945839121221,74.2689741296173,195.800153589034,213.463102295044
"SYT17",7.1918108670958,9.16828985507246,157.487862659286,163.093206905973,41.4639138043826,66.0615287268963,102.476533275377,9.72592939657146,188.841638107761
"SYT4",66.7767732563423,13.9057735507246,9.51793602261523,197.268194375742,0,158.741133202285,2.53074454381329,1.24715134380423,8.17460601084196
"TAAR1",0.00190411586520257,0.00208021739130435,NA,NA,NA,NA,NA,NA,NA
"TAAR2",0.00111306702006816,0.0010881884057971,NA,NA,NA,NA,NA,NA,NA
"TAAR3P",0.11461670579326,0.171058405797101,NA,NA,NA,NA,NA,NA,NA
"TAAR5",0.00740182506626278,0.00999253623188406,NA,NA,NA,NA,NA,NA,NA
"TAAR6",0.0210530064369557,0.0228855072463768,NA,NA,NA,NA,NA,NA,NA
"TAAR8",0.00803273381294964,0.00821586956521739,NA,NA,NA,NA,NA,NA,NA
"TAAR9",0.00549333585762969,0.00104876811594203,NA,NA,NA,NA,NA,NA,NA
"TACC3",3.02075486558122,2.30818043478261,4.48861192265834,16.8160764080652,2.14568331430827,2.58704666011204,3.11078388262274,1.71313429234688,2.30210527527424
"TAL2",0.309350833017796,0.318593115942029,NA,NA,NA,NA,NA,NA,NA
"TAOK2",26.3857728133283,15.5021739130435,22.4258439433978,19.1961125765336,35.1666982528737,11.7723284314578,11.0023806706705,13.5828304021807,15.7152776615201
"TAP1",15.4090177962893,15.2970507246377,22.7689376976805,0,43.8506805688898,3.6988712436502,13.7636575153789,9.29939513693669,37.6497992295199
"TAP2",9.55113154108292,7.91002898550725,NA,NA,NA,NA,NA,NA,NA
"TAPBP",39.9233616054525,24.3263768115942,61.9658392322593,24.6481211045883,59.3760154293251,55.6564688537411,66.186939298674,15.8676687333057,63.3645894111122
"TAPT1",13.8818530859523,12.1955579710145,57.6900025187302,26.4736028615446,46.8504530473977,43.2383693729079,47.5345862202864,59.1776716096456,53.2032529480804
"TAPT1-AS1",0.610053067020068,0.539466739130435,NA,NA,NA,NA,NA,NA,NA
"TARID",0.169375769784173,0.0740279130434783,NA,NA,NA,NA,NA,NA,NA
"TBC1D10B",39.0234172661871,30.7436231884058,15.8340377256291,20.0737008938531,16.2833521890309,11.8518371209527,17.1095883793315,27.9861367491265,11.4152967525504
"TBC1D3P2",0.0147355914426354,0.00972913768115942,NA,NA,NA,NA,NA,NA,NA
"TBC1D5",11.8069371450208,11.2906884057971,459.534675834191,290.833268648535,245.112856016657,373.22066760222,316.501092154141,534.883965832878,394.759310158501
"TBC1D8",5.99608133282847,3.42442463768116,84.1667291723414,40.8129096001545,89.3292138804384,77.8952361148047,75.0994085631195,58.1321910612925,59.0062946875652
"TBC1D8-AS1",0.35429241499432,0.217388550724638,NA,NA,NA,NA,NA,NA,NA
"TBKBP1",22.6448621734192,15.7916666666667,11.2582709423499,12.3468818675178,6.86417810612384,12.3949329483937,8.39480877778864,1.94541434968963,12.2989738666797
"TBPL2",0.015128803483529,0.0154740579710145,0.554221766845858,0.700362507633951,0,4.20814115462062,1.48877313517132,3.43290524578295,5.50936624705218
"TBX2",6.19588826202196,8.96398550724638,3.23126432243559,0,24.2532367189435,1.33872572053565,0,0.0650533437418684,0
"TBX2-AS1",1.5463775425975,2.91391956521739,NA,NA,NA,NA,NA,NA,NA
"TBX21",0.158642172283226,0.182845434782609,NA,NA,NA,NA,NA,NA,NA
"TBX4",0.0175141885649375,0.0177299710144928,NA,NA,NA,NA,NA,NA,NA
"TBX6",1.30166205603938,1.49951449275362,15.9140823859798,1.84543726054794,2.02905608311014,1.09658501494646,5.32426049203146,4.76575108469074,4.71667887091499
"TCF21",0.0206666039379023,0.0166566956521739,NA,NA,NA,NA,NA,NA,NA
"TCF3",8.60201173797804,6.36378260869565,9.60123130160063,7.9375531744925,13.309330495122,3.53075937360416,12.710746434562,9.18043199439216,6.33038941729679
"TCF7",1.20134827716774,1.18750797101449,40.0319067460791,15.5449583137501,19.3043336644485,11.2835626037926,44.0491289395937,29.8337114417693,48.0685232722724
"TCTA",34.4908894358198,34.3501666666667,35.2998561505971,32.7073105392192,97.886688557022,36.7432340256672,21.2130057574204,44.8723918048235,41.9023652120785
"TCTN2",7.22231196516471,3.30136376811594,19.4452339917713,13.9234459429385,14.0659632549383,18.2227433192731,8.42580296754002,5.04007017850057,6.34626863347178
"TDH",1.06717054146157,1.16845666666667,NA,NA,NA,NA,NA,NA,NA
"TDRD10",1.28667267701628,1.5448,10.392534098369,0,13.027346277448,2.19402416179501,0.365821314578895,1.86330254292652,7.10045238499007
"TEKT1",1.48877893297993,0.717630797101449,25.1674427584252,1.35316532432667,8.08224492435019,6.05297394217013,12.3382746571232,3.61855423585746,3.83639182661781
"TEKT4",0.744846296857251,0.339197173913043,2.65244953318109,0,0,0,0,0.125303390835059,0
"TENT4B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"TGFB1I1",4.45808845134419,4.32818623188406,0.397074187247202,0,53.046957398675,0,2.09456982772163,0.452592679607711,2.08992967386647
