"GENE","Pval.Imputed","Pval.Exome"
"FCRLA",NA,0.102114258369202
"FCRLB",0.879613,0.00881322096176434
"FDFT1",NA,0.127424010873581
"FDPS",0.37803,0.051355083356968
"FERMT1",0.260096,0.113320113132567
"FGF11",NA,0.11335766827903
"FGF17",NA,0.665911132342005
"FGF20",NA,0.427142966610332
"FGF8",NA,0.506560525079608
"FGFBP1",0.753443,0.540086264174157
"FGFBP2",0.0228114,0.180279469757496
"FGFR3",NA,0.0985241151097025
"FGFRL1",0.504076,0.0222084076132085
"FKBP10",0.175738,0.14416056066438
"FKBPL",0.699286,0.292584616766224
"FKTN",0.559046,0.0325136046038546
"FLAD1",NA,0.0651113635194189
"FLOT1",NA,0.00353865682224175
"FLVCR2",0.863889,0.0820513812516122
"FMNL1",0.883519,0.322023593209383
"FMO1",0.655377,0.457439534635245
"FMO2",NA,0.0857622785228679
"FMO3",0.650332,0.0868680447777066
"FMO4",0.717713,0.031492883780845
"FMO6P",NA,NA
"FNDC3A",0.22108,0.108009964590235
"FOS",0.0547101,0.102115321809156
"FOXA1",0.0613277,0.465738105194352
"FRG2KP",NA,NA
"FSD1L",0.513426,NA
"FTO",0.870166,0.183498175471793
"FUS",NA,0.119763848544286
"FXR2",0.188653,0.100674017667203
"FYN",0.0075614,0.0759676564128203
"FZD2",0.60448,0.0563730117784411
"G3BP2",NA,0.174762384481198
"G6PC",NA,0.234075962828188
"G6PC2",1,0.11277946854176
"G6PC3",NA,0.0143079744257392
"GABARAP",NA,NA
"GABBR1",0.216803,0.0219183148029513
"GADD45B",0.429506,0.736955954125005
"GAK",0.0922898,0.0185368964548988
"GALC",0.766594,0.669819067925282
"GALNT17",NA,NA
"GALNT18",NA,NA
"GALNT9",NA,0.499004602086181
"GALT",0.795757,0.0472263432623048
"GAMT",NA,NA
"GAST",0.41382,0.153879026629681
"GATA4",0.500762,0.0510226554941853
"GBA",2.15206e-10,0.00305352873451663
"GBAP1",NA,NA
"GBF1",0.923263,0.307166583714296
"GCH1",0.237336,0.403419998674531
"GDE1",0.23129,0.216968956430681
"GDPD3",0.943312,0.00206557710979034
"GEN1",0.302139,0.113276712983813
"GFAP",0.170807,0.407515921517676
"GFRA2",NA,0.279764587696833
"GGNBP1",NA,NA
"GHDC",0.583153,0.333172474213646
"GIN1",NA,0.208321769541205
"GJC1",NA,0.836217435784577
"GLB1L2",0.236631,0.0602627930493746
"GLB1L3",0.187219,0.475303089323745
"GMFB",NA,NA
"GNA11",NA,0.47933579694635
"GNA15",0.219197,0.500903049085053
"GNG7",NA,0.55214404900186
"GNL1",0.279577,0.447168463286314
"GOLGA2P11",NA,NA
"GOLGA3",0.230028,0.0828864211133125
"GOLGB1",0.319578,0.034105541931289
"GON4L",0.214885,0.0754787596254268
"GOSR2",0.807147,0.408736387050441
"GPAM",0.874034,0.0440292918827132
"GPANK1",0.0417799,0.0187363015120369
"GPAT2",0.00996479,0.638668342207783
"GPATCH8",0.462773,0.0529923735881082
"GPCPD1",NA,0.397546836676631
"GPNMB",0.098855,0.112462099064419
"GPR139",0.834146,0.0753622126180413
"GPR171",0.35654,0.148964173417417
"GPR65",NA,0.764546571627683
"GPR87",0.475964,0.660271073838549
"GPRC5B",0.55226,0.704229014869461
"GPRIN3",0.0112544,0.0900088389128341
"GPS2",NA,0.163679606886549
"GPSM3",0.267761,0.611065002358599
"GPX1",NA,0.0349625037778766
"GPX5",0.130322,0.344618536203655
"GPX6",NA,0.486414195186866
"GRK5",1,0.00634484777098787
"GRN",0.247262,0.027820607965418
"GS1-124K5.11",NA,NA
"GS1-124K5.4",NA,NA
"GSDMC",0.693047,0.301976466196785
"GSG1L",NA,0.370804534027327
"GSTM2P1",NA,NA
"GTF2H3",0.814857,0.318539466605479
"GTF2H4",0.0359559,0.119339921801662
"GTF2IP23",NA,NA
"GTF2IRD1P1",NA,NA
"GTF3C6",0.593967,0.206874674418683
"GUCY2D",0.587579,0.0352463057103064
"GUSB",NA,0.0453976572242663
"GUSBP2",NA,NA
"H2AFY",NA,0.148004969013431
"H3F3A",NA,NA
"H3F3AP4",NA,NA
"HAP1",0.336921,0.105647130485475
"HAX1",NA,0.107215519150169
"HCAR1",NA,NA
"HCAR2",NA,NA
"HCAR3",NA,NA
"HCG17",NA,NA
"HCG18",NA,NA
"HCG20",NA,NA
"HCG21",NA,NA
"HCG22",0.590901,NA
"HCG23",NA,NA
"HCG24",NA,NA
"HCG25",NA,NA
"HCG4",NA,NA
"HCG4B",NA,NA
"HCG9",NA,NA
"HCLS1",0.501388,0.0399904504310916
"HCN3",0.794307,0.105409904020408
"HCP5B",NA,NA
"HCRT",NA,NA
"HDAC5",0.457342,0.703639555885721
"HEAT2",NA,NA
"HEATR3",0.844816,0.123280713733397
"HERC3",0.701714,0.187274790447824
"HES7",NA,0.358114048093433
"HEXIM1",NA,0.0792529653571241
"HEXIM2",NA,NA
